candidate,party,votes,percentage,year,region,region_clean,category,source,search_text
David Asibi Ayindenaba Apasera,PNC,209,0.04,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 209 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,374,0.07,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 374 votes, representing 0.07%, in Brong Ahafo Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,216,0.04,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 216 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Hassan Ayariga,APC,255,0.05,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 255 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,214,0.04,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 214 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Akua Donkor,GFP,165,0.03,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 165 votes, representing 0.03%, in Brong Ahafo Region region. The record category is Others."
Christian Kwabena Andrews,GUM,4514,0.9,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 4514 votes, representing 0.9%, in Brong Ahafo Region region. The record category is Others."
Henry Herbert Lartey,GCPP,132,0.03,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 132 votes, representing 0.03%, in Brong Ahafo Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,235,0.05,2020,Brong Ahafo Region,Bono Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 235 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,199720,42.33,2020,Brong Ahafo Region,Bono East Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 199720 votes, representing 42.33%, in Brong Ahafo Region region. The record category is NPP."
John Dramani Mahama,NDC,265728,56.32,2020,Brong Ahafo Region,Bono East Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 265728 votes, representing 56.32%, in Brong Ahafo Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,426,0.09,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 426 votes, representing 0.09%, in Brong Ahafo Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,276,0.06,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 276 votes, representing 0.06%, in Brong Ahafo Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,446,0.09,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 446 votes, representing 0.09%, in Brong Ahafo Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,328,0.07,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 328 votes, representing 0.07%, in Brong Ahafo Region region. The record category is Others."
Hassan Ayariga,APC,463,0.1,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 463 votes, representing 0.1%, in Brong Ahafo Region region. The record category is Others."
Bridget Dzogbenuku,PPP,239,0.05,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 239 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Akua Donkor,GFP,167,0.04,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 167 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Christian Kwabena Andrews,GUM,3643,0.77,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 3643 votes, representing 0.77%, in Brong Ahafo Region region. The record category is Others."
Henry Herbert Lartey,GCPP,169,0.04,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 169 votes, representing 0.04%, in Brong Ahafo Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,239,0.05,2020,Brong Ahafo Region,Bono East Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 239 votes, representing 0.05%, in Brong Ahafo Region region. The record category is Others."
Nana Akufo Addo,NPP,613804,52.31,2020,Central Region,Central Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 613804 votes, representing 52.31%, in Central Region region. The record category is NPP."
John Dramani Mahama,NDC,538829,45.92,2020,Central Region,Central Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 538829 votes, representing 45.92%, in Central Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1117,0.1,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 1117 votes, representing 0.1%, in Central Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,292,0.02,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 292 votes, representing 0.02%, in Central Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,841,0.07,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 841 votes, representing 0.07%, in Central Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,617,0.05,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 617 votes, representing 0.05%, in Central Region region. The record category is Others."
Hassan Ayariga,APC,448,0.04,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 448 votes, representing 0.04%, in Central Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1056,0.09,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 1056 votes, representing 0.09%, in Central Region region. The record category is Others."
Akua Donkor,GFP,520,0.04,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 520 votes, representing 0.04%, in Central Region region. The record category is Others."
Christian Kwabena Andrews,GUM,15160,1.29,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 15160 votes, representing 1.29%, in Central Region region. The record category is Others."
Henry Herbert Lartey,GCPP,363,0.03,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 363 votes, representing 0.03%, in Central Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,430,0.04,2020,Central Region,Central Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 430 votes, representing 0.04%, in Central Region region. The record category is Others."
Nana Akufo Addo,NPP,752061,60.8,2020,Eastern Region,Eastern Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 752061 votes, representing 60.8%, in Eastern Region region. The record category is NPP."
John Dramani Mahama,NDC,470999,38.08,2020,Eastern Region,Eastern Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 470999 votes, representing 38.08%, in Eastern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,854,0.07,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 854 votes, representing 0.07%, in Eastern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,278,0.02,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 278 votes, representing 0.02%, in Eastern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,642,0.05,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 642 votes, representing 0.05%, in Eastern Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,510,0.04,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 510 votes, representing 0.04%, in Eastern Region region. The record category is Others."
Hassan Ayariga,APC,466,0.04,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 466 votes, representing 0.04%, in Eastern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,363,0.03,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 363 votes, representing 0.03%, in Eastern Region region. The record category is Others."
Akua Donkor,GFP,379,0.03,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 379 votes, representing 0.03%, in Eastern Region region. The record category is Others."
Christian Kwabena Andrews,GUM,9819,0.79,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 9819 votes, representing 0.79%, in Eastern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,211,0.02,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 211 votes, representing 0.02%, in Eastern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,358,0.03,2020,Eastern Region,Eastern Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 358 votes, representing 0.03%, in Eastern Region region. The record category is Others."
Nana Akufo Addo,NPP,1253179,48.15,2020,Greater Accra Region,Greater Accra Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 1253179 votes, representing 48.15%, in Greater Accra Region region. The record category is NPP."
John Dramani Mahama,NDC,1326489,50.97,2020,Greater Accra Region,Greater Accra Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 1326489 votes, representing 50.97%, in Greater Accra Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1763,0.07,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 1763 votes, representing 0.07%, in Greater Accra Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,401,0.02,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 401 votes, representing 0.02%, in Greater Accra Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,511,0.02,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 511 votes, representing 0.02%, in Greater Accra Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,524,0.02,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 524 votes, representing 0.02%, in Greater Accra Region region. The record category is Others."
Hassan Ayariga,APC,628,0.02,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 628 votes, representing 0.02%, in Greater Accra Region region. The record category is Others."
Bridget Dzogbenuku,PPP,1220,0.05,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 1220 votes, representing 0.05%, in Greater Accra Region region. The record category is Others."
Akua Donkor,GFP,767,0.03,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 767 votes, representing 0.03%, in Greater Accra Region region. The record category is Others."
Christian Kwabena Andrews,GUM,16112,0.62,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 16112 votes, representing 0.62%, in Greater Accra Region region. The record category is Others."
Henry Herbert Lartey,GCPP,231,0.01,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 231 votes, representing 0.01%, in Greater Accra Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,685,0.03,2020,Greater Accra Region,Greater Accra Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 685 votes, representing 0.03%, in Greater Accra Region region. The record category is Others."
Nana Akufo Addo,NPP,122742,51.33,2020,Northern Region,North East Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 122742 votes, representing 51.33%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,112306,46.97,2020,Northern Region,North East Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 112306 votes, representing 46.97%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,292,0.12,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 292 votes, representing 0.12%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,579,0.24,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 579 votes, representing 0.24%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,322,0.13,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 322 votes, representing 0.13%, in Northern Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,505,0.21,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 505 votes, representing 0.21%, in Northern Region region. The record category is Others."
Hassan Ayariga,APC,376,0.16,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 376 votes, representing 0.16%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,205,0.09,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 205 votes, representing 0.09%, in Northern Region region. The record category is Others."
Akua Donkor,GFP,324,0.14,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 324 votes, representing 0.14%, in Northern Region region. The record category is Others."
Christian Kwabena Andrews,GUM,952,0.4,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 952 votes, representing 0.4%, in Northern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,198,0.08,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 198 votes, representing 0.08%, in Northern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,322,0.13,2020,Northern Region,North East Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 322 votes, representing 0.13%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,409063,45.61,2020,Northern Region,Northern Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 409063 votes, representing 45.61%, in Northern Region region. The record category is NPP."
John Dramani Mahama,NDC,476650,53.14,2020,Northern Region,Northern Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 476650 votes, representing 53.14%, in Northern Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,1516,0.17,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 1516 votes, representing 0.17%, in Northern Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,1209,0.13,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 1209 votes, representing 0.13%, in Northern Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,1260,0.14,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 1260 votes, representing 0.14%, in Northern Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,1281,0.14,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 1281 votes, representing 0.14%, in Northern Region region. The record category is Others."
Hassan Ayariga,APC,899,0.1,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 899 votes, representing 0.1%, in Northern Region region. The record category is Others."
Bridget Dzogbenuku,PPP,499,0.06,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 499 votes, representing 0.06%, in Northern Region region. The record category is Others."
Akua Donkor,GFP,394,0.04,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 394 votes, representing 0.04%, in Northern Region region. The record category is Others."
Christian Kwabena Andrews,GUM,3184,0.35,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 3184 votes, representing 0.35%, in Northern Region region. The record category is Others."
Henry Herbert Lartey,GCPP,438,0.05,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 438 votes, representing 0.05%, in Northern Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,545,0.06,2020,Northern Region,Northern Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 545 votes, representing 0.06%, in Northern Region region. The record category is Others."
Nana Akufo Addo,NPP,103865,35.88,2020,Volta Region,Oti Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 103865 votes, representing 35.88%, in Volta Region region. The record category is NPP."
John Dramani Mahama,NDC,181021,62.53,2020,Volta Region,Oti Region,NDC,Ghana_Election_Result.csv,"In 2020, John Dramani Mahama of NDC received 181021 votes, representing 62.53%, in Volta Region region. The record category is NDC."
Ivor Kobina Greenstreet,CPP,265,0.09,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Ivor Kobina Greenstreet of CPP received 265 votes, representing 0.09%, in Volta Region region. The record category is Others."
David Asibi Ayindenaba Apasera,PNC,371,0.13,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, David Asibi Ayindenaba Apasera of PNC received 371 votes, representing 0.13%, in Volta Region region. The record category is Others."
Alfred Kwame Asiedu Walker,IND,282,0.1,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Alfred Kwame Asiedu Walker of IND received 282 votes, representing 0.1%, in Volta Region region. The record category is Others."
Percival Kofi Akpaloo,LPG,228,0.08,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Percival Kofi Akpaloo of LPG received 228 votes, representing 0.08%, in Volta Region region. The record category is Others."
Hassan Ayariga,APC,195,0.07,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Hassan Ayariga of APC received 195 votes, representing 0.07%, in Volta Region region. The record category is Others."
Bridget Dzogbenuku,PPP,240,0.08,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Bridget Dzogbenuku of PPP received 240 votes, representing 0.08%, in Volta Region region. The record category is Others."
Akua Donkor,GFP,200,0.07,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Akua Donkor of GFP received 200 votes, representing 0.07%, in Volta Region region. The record category is Others."
Christian Kwabena Andrews,GUM,2459,0.85,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Christian Kwabena Andrews of GUM received 2459 votes, representing 0.85%, in Volta Region region. The record category is Others."
Henry Herbert Lartey,GCPP,97,0.03,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Henry Herbert Lartey of GCPP received 97 votes, representing 0.03%, in Volta Region region. The record category is Others."
Nana Konadu Agyeman Rawlings,NDP,253,0.09,2020,Volta Region,Oti Region,Others,Ghana_Election_Result.csv,"In 2020, Nana Konadu Agyeman Rawlings of NDP received 253 votes, representing 0.09%, in Volta Region region. The record category is Others."
Nana Akufo Addo,NPP,80605,35.19,2020,Northern Region,Savannah Region,NPP,Ghana_Election_Result.csv,"In 2020, Nana Akufo Addo of NPP received 80605 votes, representing 35.19%, in Northern Region region. The record category is NPP."
